央视频道,#genre#
CCTV-1综合HD,http://211.137.115.110:8080/gitv_live/G_CCTV-1-MD/G_CCTV-1-MD.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225829/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-2财经,http://211.137.115.110:8080/gitv_live/G_CCTV-2-MD/G_CCTV-2-MD.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225800/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv2hd.m3u8
CCTV-3综艺,http://211.137.115.110:8080/gitv_live/G_CCTV-3-HD/G_CCTV-3-HD.m3u8?p=GITV&area=SAXYD#http://39.135.34.8:18890/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA031579#http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-4国际,http://211.137.115.110:8080/gitv_live/G_CCTV-4-MD/G_CCTV-4-MD.m3u8?p=GITV&area=SAXYD#http://39.135.34.4:18890/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA032150#http://ivi.bupt.edu.cn/hls/cctv4hd.m3u8
CCTV-4美洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctvamerica_2_hd/index.m3u8
CCTV-4欧洲,http://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2_hd/index.m3u8
CCTV-5体育,http://211.137.115.110:8080/gitv_live/G_CCTV-5-HD/G_CCTV-5-HD.m3u8?p=GITV&area=SAXYD#http://223.110.243.172/PLTV/3/224/3221227166/index.m3u8#http://39.135.34.18:18890/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA036763	
CCTV-6高清,http://211.137.115.110:8080/gitv_live/G_CCTV-6-HD/G_CCTV-6-HD.m3u8?p=GITV&area=SAXYD#http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8#http://39.135.34.15:18890/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA039733#http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-7军事农业,http://211.137.115.110:8080/gitv_live/G_CCTV-7-HD/G_CCTV-7-HD.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225805/1.m3u8#http://ivi.bupt.edu.cn/hls/cctv7hd.m3u8
CCTV-8高清,http://211.137.115.110:8080/gitv_live/G_CCTV-8-HD/G_CCTV-8-HD.m3u8?p=GITV&area=SAXYD#http://223.110.243.171/PLTV/3/224/3221227204/index.m3u8#http://39.135.34.12:18890/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA039505#http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-9纪录,http://211.137.115.110:8080/gitv_live/G_CCTV-9-HD/G_CCTV-9-HD.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225820/1.m3u8#http://39.135.34.23:18890/000000001000/1000000001000028286/1.m3u8?channel-id=ystenlive&stbId=0000019901080888100D73828EA039223#http://ivi.bupt.edu.cn/hls/cctv9hd.m3u8
CCTV-10科教,http://211.137.115.110:8080/gitv_live/G_CCTV-10-HD/G_CCTV-10-HD.m3u8?p=GITV&area=SAXYD#http://ivi.bupt.edu.cn/hls/cctv10hd.m3u8
CCTV-11戏曲,http://211.137.115.110:8080/gitv_live/G_CCTV-11-HQ/G_CCTV-11-HQ.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225815/index.m3u8
CCTV-12社会与法,http://211.137.115.110:8080/gitv_live/G_CCTV-12-HD/G_CCTV-12-HD.m3u8?p=GITV&area=SAXYD#http://39.134.52.163/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226183/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv12hd.m3u8
CCTV-13新闻,http://211.137.115.110:8080/gitv_live/G_CCTV-13-HQ/G_CCTV-13-HQ.m3u8?p=GITV&area=SAXYD
CCTV-14少儿,http://211.137.115.110:8080/gitv_live/G_CCTV-14-HD/G_CCTV-14-HD.m3u8?p=GITV&area=SAXYD#http://39.134.52.158/hwottcdn.ln.chinamobile.com/PLTV/88888890/224/3221226182/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv14hd.m3u8
CCTV-15音乐,http://211.137.115.110:8080/gitv_live/G_CCTV-15/G_CCTV-15.m3u8?p=GITV&area=SAXYD#http://112.50.243.8/PLTV/88888888/224/3221225818/index.m3u8
